Comment,Designator,Footprint,LCSC
1k,"R4,R5",R_0402_1005Metric,C11702
JST-SH-4P,J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C145956
100nF,"C10,C11,C12,C17,C2,C3,C6,C7,C8,C9",C_0402_1005Metric,C1525
10uF,C4,C_0402_1005Metric,C15525
22pF,"C15,C16",C_0402_1005Metric,C1555
USB_C,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C165948
RP2040,U2,RP2040-QFN-56,C2040
27R,"R2,R3",R_0603_1608Metric,C25190
10k,R1,R_0402_1005Metric,C25744
5.1k,"R6,R7",R_0402_1005Metric,C25905
?,"SW1,SW10,SW100,SW101,SW102,SW103,SW104,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW2,SW20,SW21,SW22,SW23,SW24,SW25,SW26,SW27,SW28,SW29,SW3,SW30,SW31,SW32,SW33,SW34,SW35,SW36,SW37,SW38,SW39,SW4,SW40,SW41,SW42,SW43,SW44,SW45,SW46,SW47,SW48,SW49,SW5,SW50,SW52,SW53,SW54,SW55,SW56,SW57,SW58,SW59,SW6,SW60,SW61,SW62,SW63,SW64,SW65,SW66,SW67,SW69,SW7,SW70,SW71,SW72,SW73,SW74,SW75,SW76,SW77,SW78,SW79,SW8,SW80,SW81,SW82,SW83,SW84,SW85,SW86,SW87,SW88,SW89,SW9,SW90,SW91,SW92,SW93,SW94,SW95,SW96,SW97,SW98,SW99",SW_MX_HS_1u,C5156480
1uF,"C1,C13,C14,C5",C_0402_1005Metric,C52923
XC6206,U1,SOT-23,C5446
500mA,F1,Fuse_1206_3216Metric,C70076
D,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D66,D67,D68,D69,D7,D70,D71,D72,D73,D74,D75,D76,D77,D78,D79,D8,D80,D81,D82,D83,D84,D85,D86,D87,D88,D89,D9,D90,D91",D_SOD-123,"C81598
"
SRV05-4,U3,SOT-23-6-routable,C85364
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U4,SOIC-8_5.23x5.23mm_P1.27mm,C97521
