Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,287.8,-56.28,90.0,bottom
C2,100nF,C_0402_1005Metric,288.419688,-68.2575,180.0,bottom
C3,100nF,C_0402_1005Metric,292.8,-53.5675,90.0,bottom
C4,10uF,C_0402_1005Metric,273.85,-9.57,0.0,bottom
C5,1uF,C_0402_1005Metric,286.751912,-56.283358,90.0,bottom
C6,100nF,C_0402_1005Metric,284.68,-63.18,180.0,bottom
C7,100nF,C_0402_1005Metric,291.75,-53.5675,90.0,bottom
C8,100nF,C_0402_1005Metric,296.359688,-63.1575,0.0,bottom
C9,100nF,C_0402_1005Metric,288.419688,-69.3175,180.0,bottom
C10,100nF,C_0402_1005Metric,285.08,-59.0775,180.0,bottom
C11,100nF,C_0402_1005Metric,285.08,-58.08,180.0,bottom
C12,100nF,C_0402_1005Metric,295.64,-59.1,0.0,bottom
C13,1uF,C_0402_1005Metric,273.83,-3.23,0.0,bottom
C14,1uF,C_0402_1005Metric,273.85,-8.41,180.0,bottom
C15,22pF,C_0402_1005Metric,294.179688,-72.6775,45.0,bottom
C16,22pF,C_0402_1005Metric,290.509688,-73.0175,135.0,bottom
C17,100nF,C_0402_1005Metric,296.469688,-50.9275,90.0,bottom
D1,D,D_SOD-123,3.175,-0.79375,90.0,bottom
D2,D,D_SOD-123,26.9875,-0.79375,90.0,bottom
D3,D,D_SOD-123,46.0375,-0.79375,90.0,bottom
D4,D,D_SOD-123,65.0875,-0.79375,90.0,bottom
D5,D,D_SOD-123,84.1375,-0.79375,90.0,bottom
D6,D,D_SOD-123,107.95,-0.79375,90.0,bottom
D7,D,D_SOD-123,127.0,-0.79375,90.0,bottom
D8,D,D_SOD-123,146.05,-0.79375,90.0,bottom
D9,D,D_SOD-123,165.1,-0.79375,90.0,bottom
D10,D,D_SOD-123,188.9125,-0.79375,90.0,bottom
D11,D,D_SOD-123,207.9625,-0.79375,90.0,bottom
D12,D,D_SOD-123,227.0125,-0.79375,90.0,bottom
D13,D,D_SOD-123,246.0625,-0.79375,90.0,bottom
D14,D,D_SOD-123,269.875,-0.79375,90.0,bottom
D15,D,D_SOD-123,293.6875,-0.79375,90.0,bottom
D16,D,D_SOD-123,312.7375,-0.79375,90.0,bottom
D17,D,D_SOD-123,331.7875,-0.79375,90.0,bottom
D18,D,D_SOD-123,3.175,-24.60625,90.0,bottom
D19,D,D_SOD-123,22.225,-24.60625,90.0,bottom
D20,D,D_SOD-123,41.275,-24.60625,90.0,bottom
D21,D,D_SOD-123,60.325,-24.60625,90.0,bottom
D22,D,D_SOD-123,79.375,-24.60625,90.0,bottom
D23,D,D_SOD-123,98.425,-24.60625,90.0,bottom
D24,D,D_SOD-123,117.475,-24.60625,90.0,bottom
D25,D,D_SOD-123,136.525,-24.60625,90.0,bottom
D26,D,D_SOD-123,155.575,-24.60625,90.0,bottom
D27,D,D_SOD-123,174.625,-24.60625,90.0,bottom
D28,D,D_SOD-123,193.675,-24.60625,90.0,bottom
D29,D,D_SOD-123,212.725,-24.60625,90.0,bottom
D30,D,D_SOD-123,231.775,-24.60625,90.0,bottom
D31,D,D_SOD-123,238.125,-29.36875,90.0,bottom
D32,D,D_SOD-123,263.48,-32.75,180.0,bottom
D33,D,D_SOD-123,293.6875,-24.60625,90.0,bottom
D34,D,D_SOD-123,312.7375,-24.60625,90.0,bottom
D35,D,D_SOD-123,331.7875,-24.60625,90.0,bottom
D36,D,D_SOD-123,7.9375,-43.65625,90.0,bottom
D37,D,D_SOD-123,31.75,-43.65625,90.0,bottom
D38,D,D_SOD-123,50.8,-43.65625,90.0,bottom
D39,D,D_SOD-123,69.85,-43.65625,90.0,bottom
D40,D,D_SOD-123,88.9,-43.65625,90.0,bottom
D41,D,D_SOD-123,107.95,-43.65625,90.0,bottom
D42,D,D_SOD-123,127.0,-43.65625,90.0,bottom
D43,D,D_SOD-123,146.05,-43.65625,90.0,bottom
D44,D,D_SOD-123,165.1,-43.65625,90.0,bottom
D45,D,D_SOD-123,184.15,-43.65625,90.0,bottom
D46,D,D_SOD-123,203.2,-43.65625,90.0,bottom
D47,D,D_SOD-123,222.25,-43.65625,90.0,bottom
